Found enzyme: Carbonic anhydrase (4.2.1.1)
--- Substrate, Organism, UniProt ID, KM Value (mM) ---
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 28.5
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 44.1
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 23.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 27.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 16.9
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 22.5
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 18.1
Substrate: CO2, Organism: Sander vitreus, UniProt ID: , KM Value: 18.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 18.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 6.5
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 11.7
Substrate: CO2, Organism: Vibrio cholerae serotype, UniProt ID: O1, KM Value: 11.7
Substrate: CO2, Organism: Macropus eugenii desmarest, UniProt ID: , KM Value: 2.67
Substrate: CO2, Organism: Lacticaseibacillus rhamnosus, UniProt ID: , KM Value: 7.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 7.0
Substrate: CO2, Organism: Conticribra weissflogii, UniProt ID: , KM Value: 0.087
Substrate: CO2, Organism: Anguilla anguilla, UniProt ID: , KM Value: 21.72
Substrate: CO2, Organism: Malassezia pachydermatis, UniProt ID: , KM Value: 39.7
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 25.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 34.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 17.3
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 15.7
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 17.1
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 12.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 26.2
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 6.09
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 14.5
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 47.6
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 16.7
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 12.2
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 16.2
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 21.8
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 13.6
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 16.3
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 19.1
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 33.4
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 43.3
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 9.45
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 25.4
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 33.9
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 34.2
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 51.4
Substrate: CO2, Organism: Leishmania chagasi, UniProt ID: , KM Value: 59000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 88000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 85000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 130000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 94000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 55000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 5500.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 9300.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 42000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 150000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 155000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 108000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 161000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 120000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 120000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 120000.0
Substrate: CO2, Organism: Brucella suis, UniProt ID: , KM Value: 39000.0
Substrate: CO2, Organism: Brucella suis, UniProt ID: , KM Value: 39000.0
Substrate: CO2, Organism: Brucella suis, UniProt ID: , KM Value: 3900.0
Substrate: CO2, Organism: Brucella suis, UniProt ID: , KM Value: 8900.0
Substrate: CO2, Organism: Saccharomyces cerevisiae, UniProt ID: , KM Value: 98000.0
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 0.0017
Substrate: CO2, Organism: Methanosarcina thermophila, UniProt ID: , KM Value: 0.00016
Substrate: CO2, Organism: Sordaria macrospora, UniProt ID: , KM Value: 1210.0
Substrate: CO2, Organism: Malassezia globosa, UniProt ID: , KM Value: 69000.0
Substrate: CO2, Organism: Persephonella marina, UniProt ID: , KM Value: 30000.0
Substrate: CO2, Organism: Mytilus galloprovincialis, UniProt ID: , KM Value: 35000.0
Substrate: CO2, Organism: Mytilus galloprovincialis, UniProt ID: , KM Value: 36000.0
Substrate: CO2, Organism: Plasmodium falciparum, UniProt ID: , KM Value: 5400.0
Substrate: CO2, Organism: Plasmodium falciparum, UniProt ID: , KM Value: 72000.0
Substrate: CO2, Organism: Porphyromonas gingivalis, UniProt ID: , KM Value: 15000.0
Substrate: CO2, Organism: Enterobacter sp., UniProt ID: B13, KM Value: 56000.0
Substrate: CO2, Organism: Synechocystis sp. PCC 6803 / Kazusa, UniProt ID: , KM Value: 1190.0
Substrate: CO2, Organism: Synechocystis sp. PCC 6803 / Kazusa, UniProt ID: , KM Value: 17300.0
Substrate: CO2, Organism: Pseudoalteromonas haloplanktis ANT/505, UniProt ID: , KM Value: 1900.0
Substrate: CO2, Organism: Sulfurihydrogenibium azorense, UniProt ID: , KM Value: 350000.0
Substrate: CO2, Organism: Nostoc commune, UniProt ID: , KM Value: 83000.0
Substrate: CO2, Organism: Escherichia coli, UniProt ID: , KM Value: 6900.0
Substrate: CO2, Organism: Trichomonas vaginalis, UniProt ID: , KM Value: 80000.0
Substrate: CO2, Organism: Trichomonas vaginalis, UniProt ID: , KM Value: 44000.0
Substrate: CO2, Organism: Malassezia restricta, UniProt ID: , KM Value: 107000.0
Substrate: CO2, Organism: Gyrodactylus salaris, UniProt ID: , KM Value: 7580.0
Substrate: CO2, Organism: Entamoeba histolytica, UniProt ID: , KM Value: 89000.0
Substrate: CO2, Organism: Neisseria gonorrhoeae, UniProt ID: , KM Value: 3133.0
Substrate: CO2, Organism: Caenorhabditis elegans, UniProt ID: , KM Value: 66.8
Substrate: CO2, Organism: Mycobacterium tuberculosis, UniProt ID: , KM Value: 37000.0
Substrate: CO2, Organism: Mycobacterium tuberculosis, UniProt ID: , KM Value: 40000.0
Substrate: CO2, Organism: Trypanosoma cruzi, UniProt ID: , KM Value: 149000.0
Substrate: CO2, Organism: Clostridium perfringens, UniProt ID: , KM Value: 4800.0
Substrate: CO2, Organism: Columba livia, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Drosophila melanogaster, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Astrosclera willeyana, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Columba livia, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Drosophila melanogaster, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Astrosclera willeyana, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Columba livia, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Drosophila melanogaster, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Astrosclera willeyana, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Columba livia, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Drosophila melanogaster, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Astrosclera willeyana, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Homo sapiens, UniProt ID: , KM Value: 110000.0
Substrate: CO2, Organism: Nostoc sp., UniProt ID: , KM Value: 4100.0
Substrate: CO2, Organism: Porphyromonas gingivalis, UniProt ID: , KM Value: 540000.0
Substrate: CO2, Organism: Vibrio cholerae serotype, UniProt ID: O1, KM Value: 70000.0
